11,0,1,11.html,北京市
12,0,1,12.html,天津市
13,0,2,13.html,河北省
14,0,2,14.html,山西省
15,0,3,15.html,内蒙古自治区
21,0,2,21.html,辽宁省
22,0,2,22.html,吉林省
23,0,2,23.html,黑龙江省
31,0,1,31.html,上海市
32,0,2,32.html,江苏省
33,0,2,33.html,浙江省
34,0,2,34.html,安徽省
35,0,2,35.html,福建省
36,0,2,36.html,江西省
37,0,2,37.html,山东省
41,0,2,41.html,河南省
42,0,2,42.html,湖北省
43,0,2,43.html,湖南省
44,0,2,44.html,广东省
45,0,3,45.html,广西壮族自治区
46,0,2,46.html,海南省
50,0,1,50.html,重庆市
51,0,2,51.html,四川省
52,0,2,52.html,贵州省
53,0,2,53.html,云南省
54,0,3,54.html,西藏自治区
61,0,2,61.html,陕西省
62,0,2,62.html,甘肃省
63,0,2,63.html,青海省
64,0,3,64.html,宁夏回族自治区
65,0,3,65.html,新疆维吾尔自治区
